coding,jobid
255:239:255:255:255:239:511:511:511:511:511:511:511:511:511:511:511:503:511:511,18680665
272,17829075
0,18854937
0:0,18592616
340,18752599
0:100:64:502,18421832
260:0:0:0:0:0:0,17892527
0:0,18278498
384:424,18284286
388,18747893
0:0:0:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:128,18482284
0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:6:0:0:0:0:0,18768563
2:2:2:14:0:32:7:1,18545700
88:8:0:8:0:0:8:0:0:0:0:0:0:0:0:0,18725095
0,18742188
143:135:131:135:131:135:39:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18269894
0:38,18261636
273,18003061
400:401,18383748
128,18014828
265:319:0,18314940
0:0:0:0:272:0:358:0:0:0:0:0:0,18377464
0:0:0:0,18525714
128:128,18237974
0:142:0:0,18238100
260,17927699
0:24,17850911
39:33,17810101
256:256:256:256:256:256:278:256:256:256:256:256:256:256:256:256:256:256:256,18624738
0,17938508
0,18530886
0,17973941
38:1:1:255,18475602
8,18272984
40,18446838
272:272:447:304,18246603
272,18343803
1:255:447:1:1,18847736
400,18602195
0:2:368:344,18724058
62,17993795
0,17969880
0:0:4:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:6:4:4,18472772
471:471,18176998
164,18676413
256:256:262:256,18815673
502,18809964
262,18236033
0:0:0,18531718
0,18527183
0:0:0:0:0:0:0,17869516
0:0,18866314
0:0:0:0,18800584
56:0:0:0:0:32:6:6:6:6:6:231:6:230:134:230:502:6:6:38:38:38:38:102:102:102:38:102:102:38:0,18272910
0,18197113
400:400:400:401:400:400:432:405:400:400,18185805
0:0:0:0:0,18301985
0:0:0:0:0:0:0:0:0:0:0:128:6:0:0:0:0:0:0:0:0:0:0:0,17868802
40,17911493
96:324:96:324,18356128
0,18116517
0,18694354
0,18031334
256:256:256:256:256,18067943
0,18033710
0,18400981
226,18843901
0,18647875
0:0:0:0:0:0:375:128:128:128:161:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:161:128:128:128:128:128:128:128,18289299
72:64:96,18491421
318,18233249
0:0:0:0:0:388:174:0:0:0:0:0:0:0:128,18245915
400:400:400:400:400:390:175:128:128,18699563
0,18378037
0,18808035
0,18877171
160,17865581
0:32:0:44:96,18593015
0:0:14:369,18297032
324:406:400:406:272,18431234
0,17945560
401,17977255
1,17826927
511:471,18511722
0:0,18815855
237,18394509
0,18610027
404:14:0:0,17934331
104:102:96:102:374:96:102:96:102:102:96:98:36:32:0:0:0:0:160:160:0:0:0:0:160:160:0:0:0:0:0:160:128:0:0:0:0:160:160,18199781
0:8:0:0,18529149
0,18895347
0:0:0:0:0:0:0:0:0:0:0:135:311:0:0:0:0:0:0:0:0:0:0,18135155
0,18862429
0,18670859
317,17974064
0:0:0:0:0:164:175:128:128,18820342
503,17841259
0:0:0:0:0:0:0:0:0:0:0:0:6:0:0:0:0,18153844
7,18583791
0:0:0:0:0:0:0:0:0:0:500:32:278:256:256:256:256:256:272,18053109
32:32:6:8:6:0:0:0:0:0:0:0:0:0:0:0:0,18389592
8:0:0:0:0:0:0:0:0:0:0:0:96:0:0:0:0:0:0:0:0:0:0:0:0:272:272:272:272:272:272:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,17603160
0,18192832
441,18034710
0,18466834
0,18614051
0,18192416
471,18139839
511:503:511:496,18409854
64,18592798
368:0,17994518
39:7:1,18246144
8:8:40:32:0:0:272:400:0,18024750
0,18307256
160:160:160:160:191:224:160:160,18191861
0:0,18170316
98:503:6,18522812
0,17862240
0:0:0,18281535
272,18351157
418,17901996
0,17891636
439:511:432,18305350
272,17957109
160,17993480
312:272:0:0,17910865
511:511,17607135
0,18761387
511:238:0,18584488
0,18670334
0,18702772
0,17991050
407:471:471:407:471:407:471:471:401,18163811
0,18815601
0,18328530
0,18205375
68,17600270
0,18850585
0,18501674
0:0:0,18103430
0:0:0:0,18376419
0:0:0,18535822
400,18747171
135:128,18268400
400,18799064
0:0:0:0:0:0,18377147
438:503,18801230
498:224:160:160:0,18556776
6:0:0:0:4:0:0:0:33:0,17838153
0,18193434
511,18037584
0,18886370
0,18073763
379:371:371:375:371:371:371:375:374:370:238:174:70,17601321
0:0:0:0:0:0:175:128:128,18823683
6:0,18599480
0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18252882
96:0:38,18502085
128:128:128,18762283
0,17858368
272:272:0:0,18360246
0:0:12:0:0:0:191,17965146
0,18053520
174,18565131
0,18635608
